City,Country,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Date
mahebourg,mu,-20.41,57.7,78.8,75.0,88.0,2.24,2019-03-26 22:29:06
mount gambier,au,-37.83,140.78,53.6,90.0,93.0,5.82,2019-03-26 22:00:00
te anau,nz,-45.41,167.72,51.16,24.0,73.0,11.7,2019-03-26 22:31:40
saskylakh,ru,71.97,114.09,14.8,76.0,76.0,5.1,2019-03-26 22:37:37
aklavik,ca,68.22,-135.01,39.2,20.0,64.0,6.93,2019-03-26 22:00:00
leningradskiy,ru,69.38,178.42,28.74,76.0,91.0,24.07,2019-03-26 22:29:21
mataura,pf,-46.19,168.86,54.0,24.0,88.0,15.01,2019-03-26 22:30:07
danilov,ru,58.19,40.17,32.0,90.0,87.0,11.18,2019-03-26 22:00:00
albany,au,42.65,-73.75,42.8,1.0,18.0,14.99,2019-03-26 22:27:05
mahina,pf,13.76,-10.85,82.21,0.0,41.0,9.69,2019-03-26 22:31:40
bredasdorp,za,-34.53,20.04,66.2,76.0,72.0,14.99,2019-03-26 22:30:29
beisfjord,no,68.38,17.6,30.99,75.0,54.0,16.11,2019-03-26 22:31:08
hilo,us,19.71,-155.08,78.8,20.0,57.0,11.41,2019-03-26 22:31:16
graaff-reinet,za,-32.25,24.53,50.13,36.0,87.0,1.3,2019-03-26 22:31:40
kapaa,us,22.08,-159.32,78.8,90.0,78.0,5.82,2019-03-26 22:28:26
ola,ru,59.58,151.3,17.68,44.0,100.0,9.57,2019-03-26 22:31:41
middleton,ca,44.94,-65.07,32.0,5.0,52.0,13.87,2019-03-26 22:16:20
havre-saint-pierre,ca,50.23,-63.6,15.8,90.0,43.0,17.22,2019-03-26 22:00:00
ushuaia,ar,-54.81,-68.31,53.6,75.0,66.0,5.82,2019-03-26 22:00:00
rikitea,pf,-23.12,-134.97,80.49,12.0,97.0,13.44,2019-03-26 22:27:08
tiksi,ru,71.64,128.87,-9.82,0.0,68.0,2.98,2019-03-26 22:31:41
punta arenas,cl,-53.16,-70.91,53.6,90.0,71.0,16.11,2019-03-26 22:22:27
chhabra,in,24.67,76.85,55.75,0.0,59.0,2.64,2019-03-26 22:31:41
kaitangata,nz,-46.28,169.85,56.43,12.0,76.0,22.88,2019-03-26 22:31:42
kollam,in,8.88,76.6,82.4,20.0,74.0,3.36,2019-03-26 22:00:00
jamestown,sh,-33.21,138.6,59.76,0.0,83.0,7.23,2019-03-26 22:31:42
valdosta,us,30.83,-83.28,73.99,20.0,43.0,11.41,2019-03-26 22:25:09
iquique,cl,-20.22,-70.14,71.6,0.0,68.0,18.34,2019-03-26 22:00:00
chernyshevskiy,ru,63.01,112.47,5.31,20.0,73.0,2.98,2019-03-26 22:31:42
fayaoue,nc,-20.65,166.53,79.83,80.0,100.0,18.86,2019-03-26 22:31:42
le tampon,re,-21.27,55.52,78.8,0.0,74.0,5.82,2019-03-26 22:25:57
tuatapere,nz,-46.13,167.69,54.0,56.0,88.0,15.01,2019-03-26 22:30:07
rajapur,in,25.39,81.15,61.92,0.0,50.0,5.44,2019-03-26 22:31:43
mama,ru,20.48,-89.36,86.0,40.0,45.0,13.87,2019-03-26 22:31:01
gezing,in,47.92,13.13,41.0,75.0,64.0,3.36,2019-03-26 22:31:31
touros,br,-5.2,-35.46,80.6,40.0,88.0,3.27,2019-03-26 22:00:00
vizinga,ru,61.08,50.08,28.66,24.0,89.0,5.1,2019-03-26 22:31:43
santiago del estero,ar,-27.8,-64.26,59.8,80.0,92.0,3.76,2019-03-26 22:30:37
khatanga,ru,71.98,102.47,24.66,76.0,90.0,10.69,2019-03-26 22:37:38
hue,vn,16.47,107.58,69.8,20.0,100.0,1.12,2019-03-26 22:00:00
port elizabeth,za,39.31,-74.98,50.0,1.0,18.0,9.17,2019-03-26 22:27:37
zyryanka,ru,65.73,150.89,8.01,68.0,66.0,13.82,2019-03-26 22:31:44
bambanglipuro,id,-7.95,110.28,76.41,76.0,95.0,2.42,2019-03-26 22:31:44
erenhot,cn,43.65,111.97,26.05,20.0,55.0,11.81,2019-03-26 22:31:44
mar del plata,ar,-46.43,-67.52,61.29,0.0,57.0,7.78,2019-03-26 22:38:09
cherskiy,ru,68.75,161.3,10.75,68.0,76.0,15.39,2019-03-26 22:30:14
